r_mean,g_mean,b_mean,r_std,g_std,b_std,r_min,g_min,b_min,r_max,g_max,b_max,label
253.5654296875,164.85693359375,1.62109375,6.86153626336651,10.086105888964418,7.340057873406785,205,115,0,255,215,50,happy
253.4384765625,247.0537109375,219.632568359375,7.053791922904884,6.759039512770499,9.343776329666856,205,198,170,255,255,255,happy
239.34130859375,229.763916015625,139.856201171875,7.45335184707742,8.543185143680114,10.01252026871381,190,180,90,255,255,190,happy
253.52197265625,253.466552734375,102.08349609375,6.933416986495715,7.018520034018725,9.89517130327103,205,205,52,255,255,152,happy
253.427490234375,165.021728515625,1.481201171875,7.153971809169295,9.868261473645383,6.917139189926073,205,115,0,255,215,50,happy
253.6201171875,248.85009765625,205.062744140625,6.756848781422971,7.024266670342767,9.629448986426597,205,200,155,255,255,255,happy
253.55810546875,181.95361328125,193.09765625,6.976666098377601,9.912005259901933,9.841578846624962,205,132,143,255,232,243,happy
253.503173828125,165.13134765625,1.4111328125,6.85860898947921,10.156073735981717,6.853689492108308,205,115,0,255,215,50,happy
253.5712890625,253.565673828125,101.9580078125,6.681641410018041,6.841543839262408,9.776166527258471,205,205,52,255,255,152,happy
253.641357421875,164.886962890625,1.438720703125,6.517070321799578,9.715768531556273,6.719742275863302,205,115,0,255,215,50,happy
253.700439453125,234.393310546875,204.913330078125,6.582474052408482,7.721396571659941,9.961991147432183,205,185,155,255,255,255,happy
253.546630859375,234.487548828125,205.260986328125,6.746980905872192,8.127183675761792,9.977220216368226,205,185,155,255,255,255,happy
253.593017578125,230.76123046875,186.085693359375,6.677865436848796,8.53683544549423,9.90751817630349,205,181,136,255,255,236,happy
253.403076171875,182.02978515625,192.757080078125,7.285666599755412,9.821581762283362,9.719494729777944,205,132,143,255,232,243,happy
253.5361328125,253.541015625,1.30029296875,6.870286955969222,6.896718347772791,6.193231240267015,205,205,0,255,255,50,happy
253.542724609375,253.435546875,1.53466796875,6.896743371983892,7.092149192570454,7.02657964940573,205,205,0,255,255,50,happy
253.5966796875,182.188232421875,193.14599609375,6.677374688118445,10.135674745162754,10.116782621434531,205,132,143,255,232,243,happy
253.603515625,248.84521484375,205.13671875,6.762252143083018,6.8933679739409435,10.100150804054781,205,200,155,255,255,255,happy
253.55810546875,214.9208984375,1.465087890625,6.728266713890832,9.475198545363577,6.845622738353976,205,165,0,255,255,50,happy
239.4130859375,229.471923828125,140.0888671875,7.31432032954804,8.849997396387913,9.659986791423984,190,180,90,255,255,190,happy
253.472900390625,222.745361328125,1.389892578125,7.058678998574855,8.768582553991308,6.690645097776301,205,173,0,255,255,50,happy
253.56494140625,222.7626953125,1.55078125,6.764068195343263,9.366706485822032,7.150370085415051,205,173,0,255,255,50,happy
253.276123046875,234.292724609375,204.983642578125,7.483195771434118,8.18505484709426,9.738674111519217,205,185,155,255,255,255,happy
253.449462890625,222.782470703125,1.463134765625,7.06100542154416,9.20734439296294,6.940568601850606,205,173,0,255,255,50,happy
253.48095703125,164.967529296875,1.432861328125,7.027056295337414,9.84576717175018,6.816898251678608,205,115,0,255,215,50,happy
253.5400390625,164.91015625,1.395263671875,6.880562976492121,9.944977256476555,6.708805651553851,205,115,0,255,215,50,happy
253.576904296875,214.875244140625,1.412353515625,6.696908086320295,9.95352051995557,6.745414655529095,205,165,0,255,255,50,happy
253.607666015625,234.6494140625,204.8720703125,6.740417809589361,7.804254376647858,9.655377246711087,205,185,155,255,255,255,happy
253.59716796875,222.701904296875,1.42578125,6.716957012728979,9.405458660993276,6.787465424563755,205,173,0,255,255,50,happy
248.86083984375,248.705810546875,210.15625,6.832944500335304,7.361323748572333,9.665019278627954,200,200,160,255,255,255,happy
253.534912109375,165.096435546875,1.3857421875,6.752224162793989,9.568050216785231,6.723663307846603,205,115,0,255,215,50,happy
253.60693359375,192.237060546875,203.138427734375,6.576346313229536,9.769097060385894,10.214645958584702,205,142,153,255,242,253,happy
253.61474609375,230.6748046875,186.13330078125,6.678002699364468,8.4122138440917,10.105319629183835,205,181,136,255,255,236,happy
253.420166015625,253.48291015625,102.22412109375,7.202292764543025,6.992930367502639,10.552489903943822,205,205,52,255,255,152,happy
253.447998046875,230.3857421875,186.2568359375,7.189485520318626,8.336820146331737,9.964583384164062,205,181,136,255,255,236,happy
248.867919921875,248.834228515625,209.886962890625,6.928653295813516,7.029833905352467,9.751210159002273,200,200,160,255,255,255,happy
253.533203125,215.0009765625,1.408447265625,6.817183818024876,9.28453745563427,6.771949045738491,205,165,0,255,255,50,happy
239.272216796875,229.59716796875,140.15673828125,7.749078168958171,8.670246569351358,9.97765293599606,190,180,90,255,255,190,happy
248.8505859375,248.84228515625,209.9453125,6.8983367878009005,6.959461933444346,9.525558623505697,200,200,160,255,255,255,happy
253.593994140625,248.82763671875,205.0791015625,6.735477220121687,6.900172515453996,9.688437090434663,205,200,155,255,255,255,happy
253.469482421875,253.66015625,102.0322265625,7.090861631524436,6.426966076177464,9.825426225419914,205,205,52,255,255,152,happy
253.517822265625,104.90576171875,179.888427734375,6.90947851175094,9.664711402318076,9.955173105045352,205,55,130,255,155,230,happy
253.504638671875,104.8720703125,180.0947265625,6.817298909408567,9.860018363068912,9.826016343913587,205,55,130,255,155,230,happy
239.2919921875,229.61279296875,139.88720703125,7.505056520436003,8.29029414224553,9.7656861204142,190,180,90,255,255,190,happy
253.556884765625,238.4873046875,212.92236328125,6.732448713947979,7.461380710719064,9.489242875614563,205,189,163,255,255,255,happy
239.094970703125,229.616943359375,140.105224609375,7.820340696697487,8.50103371659577,9.938994190357336,190,180,90,255,255,190,happy
253.582275390625,230.58837890625,185.89013671875,6.590755266192753,8.647220115819307,10.112243139355035,205,181,136,255,255,236,happy
253.370849609375,253.4580078125,101.892822265625,7.287311040970559,7.181430476405029,9.773084013574183,205,205,52,255,255,152,happy
253.594482421875,222.792724609375,1.419921875,6.811056242203307,9.311700668208587,6.606469780650365,205,173,0,255,255,50,happy
253.52490234375,248.65283203125,204.78564453125,6.929744045022569,7.366194543841752,9.926780233062328,205,200,155,255,255,255,happy
253.51220703125,215.079833984375,1.4794921875,6.992067730266782,9.540043257924138,6.92820811688538,205,165,0,255,255,50,happy
253.445068359375,230.556884765625,186.15478515625,7.194623514462605,8.36342988467888,9.675192108514159,205,181,136,255,255,236,happy
253.5205078125,238.2734375,212.838134765625,6.873903984791064,8.067158144436227,9.776951972893992,205,189,163,255,255,255,happy
253.536865234375,214.939697265625,1.4365234375,6.965919291772944,9.40407088058687,6.763937724322511,205,165,0,255,255,50,happy
253.592041015625,246.69482421875,219.896240234375,6.791238692808015,7.598708037310583,9.158608139431584,205,198,170,255,255,255,happy
253.568359375,222.728515625,1.42236328125,6.884915778504455,9.326699919606122,6.765486277508198,205,173,0,255,255,50,happy
253.516357421875,234.57666015625,204.87646484375,6.978498367557279,7.83319023860609,9.978682003848018,205,185,155,255,255,255,happy
253.415283203125,104.892333984375,180.38671875,7.136582609735365,9.951634985692273,10.033627997683512,205,55,130,255,155,230,happy
239.34814453125,229.9345703125,139.972900390625,7.60527587708761,8.38470847099013,9.913911567302621,190,180,90,255,255,190,happy
248.74951171875,248.81982421875,210.135009765625,7.1434622205171925,6.753670701022589,9.659237245251868,200,200,160,255,255,255,happy
248.8251953125,248.75146484375,210.0146484375,6.842801729461992,7.321625436070039,10.20855666454758,200,200,160,255,255,255,happy
253.38232421875,105.166015625,179.754638671875,7.18527955296502,9.909343826018747,9.737276502083924,205,55,130,255,155,230,happy
253.473388671875,253.5234375,101.781005859375,6.960145671946488,6.939395679909293,10.067721886715331,205,205,52,255,255,152,happy
253.549072265625,105.23486328125,179.909423828125,6.815547921865595,9.70693692136559,9.736411256731788,205,55,130,255,155,230,happy
253.4814453125,191.99755859375,202.9541015625,7.041079758181396,9.764962172329984,9.484328293410401,205,142,153,255,242,253,happy
253.541015625,253.589111328125,102.09765625,6.899514344303943,6.673786215668719,9.764924193604164,205,205,52,255,255,152,happy
253.582763671875,164.897216796875,1.43115234375,6.7100223676689605,10.396529434625306,6.67278215731481,205,115,0,255,215,50,happy
253.483154296875,165.057861328125,1.652099609375,7.009111634849757,9.629530270920934,7.325230004244097,205,115,0,255,215,50,happy
253.461669921875,253.658447265625,1.464599609375,7.057416280418134,6.5397516386531045,6.901703589501913,205,205,0,255,255,49,happy
253.586669921875,253.5517578125,1.294677734375,6.709900279597468,6.777919461206014,6.313299067127156,205,205,0,255,255,50,happy
253.5478515625,234.53466796875,204.984619140625,6.9001426101542505,7.926066401481428,9.650180523300582,205,185,155,255,255,255,happy
253.6337890625,164.988525390625,1.355224609375,6.760962661615236,9.544643006954985,6.597232274220711,205,115,0,255,215,50,happy
253.569091796875,214.978759765625,1.699951171875,6.84568406998925,9.79627879091437,7.387704893359358,205,165,0,255,255,50,happy
248.6640625,248.873046875,210.00927734375,7.305013361715621,6.892059522853291,9.632095186453098,200,200,160,255,255,255,happy
253.39453125,181.95751953125,192.82177734375,7.289166121650915,9.65850762946972,10.029398892932178,205,132,143,255,232,243,happy
253.53759765625,234.715576171875,205.145263671875,6.768569111894663,7.528682884583446,9.670430628661704,205,185,155,255,255,255,happy
253.5849609375,181.62548828125,192.965087890625,6.754382865154974,9.994377069320976,9.998730480553219,205,132,143,255,232,243,happy
248.92431640625,248.875,209.955078125,6.7259506851178354,7.000104630914455,10.023333792027305,200,200,160,255,255,255,happy
253.4638671875,181.89111328125,192.96484375,7.070319446539233,10.162058873942811,9.72235335004267,205,132,143,255,232,243,happy
253.536376953125,253.4541015625,101.91943359375,6.948446105409564,7.21193826163848,9.915898951831547,205,205,52,255,255,152,happy
248.827880859375,248.89501953125,209.793701171875,6.937423563871209,6.716803104523091,9.945931435599144,200,200,160,255,255,255,happy
253.611083984375,234.265380859375,205.28076171875,6.681134835652202,8.397831097378798,9.993053300344922,205,185,155,255,255,255,happy
239.05322265625,229.59033203125,140.08935546875,8.134645678676588,8.473369605291643,10.213675344248243,190,180,90,255,255,190,happy
253.504638671875,248.9052734375,205.143310546875,7.043217452022423,6.647207144046057,9.844628888207488,205,200,155,255,255,255,happy
253.51416015625,253.476318359375,101.960205078125,6.83816800594099,7.144362788146141,9.922804009505981,205,205,52,255,255,152,happy
253.59326171875,165.017822265625,1.424560546875,6.726238087840468,9.785787922159003,6.774310411042751,205,115,0,255,215,50,happy
253.56591796875,164.641845703125,1.5361328125,6.804866030745637,9.655410406036864,7.0462106869480445,205,115,0,255,215,50,happy
253.446533203125,253.6318359375,102.018310546875,7.141775255609205,6.5904317886299,9.696815414196465,205,205,52,255,255,152,happy
253.615966796875,215.096923828125,1.429931640625,6.612512475093907,9.654233725077129,6.820914570734961,205,165,0,255,255,50,happy
253.434326171875,191.96923828125,202.876708984375,7.200401697443651,9.883576724693826,9.910349334652192,205,142,153,255,242,253,happy
253.63818359375,253.563720703125,1.384521484375,6.637145928459637,6.880881165191945,6.662031282287637,205,205,0,255,255,50,happy
253.732666015625,191.977783203125,202.783447265625,6.34090663816486,9.723232716582054,9.700003495043685,205,142,153,255,242,253,happy
248.844970703125,248.80615234375,209.875244140625,6.9585575055276685,6.8863203135757765,9.757599824492015,200,200,160,255,255,255,happy
253.672119140625,253.5234375,1.501220703125,6.463967435053375,6.891028014008051,6.856509116152613,205,205,0,255,255,50,happy
253.54736328125,165.240234375,1.4130859375,6.934698398332781,9.71964939285715,6.72657717394142,205,115,0,255,215,50,happy
253.60693359375,253.6015625,102.193603515625,6.642061666024918,6.711037542909722,10.063269967777007,205,205,52,255,255,152,happy
253.548095703125,253.6123046875,101.89794921875,6.66681462709823,6.7023480727589435,9.892554397780497,205,205,52,255,255,152,happy
253.470458984375,253.5517578125,1.4755859375,7.035665723451182,6.939171873148497,6.775875581137264,205,205,0,255,255,50,happy
253.607421875,230.56494140625,185.92236328125,6.769444187174563,8.592112423322002,9.93601737568437,205,181,136,255,255,236,happy
253.671630859375,214.84814453125,1.53564453125,6.431113023661627,9.260149967285125,7.084361833813401,205,165,0,255,255,50,happy
